FECHA,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGLIGENCIA,Hora Final,Columna 10,Columna 11,Columna 12,Columna 13
2026-03-28 00:00:00,AD 959 RL,REPARACION DE LUCES,,,,PENDIENTE,,,,,ELEC,
2026-03-28 00:00:00,AB 665 RR,REPARACION DE ARRANQUE Y ALTERNADOR,,,,PENDIENTE,,,,,ELEC,
2026-03-28 00:00:00,HJG 034,REPARACION DE SOPORTE DE CABINA( FCA),,,,PENDIENTE,,,,,HERR,
2026-03-28 00:00:00,NKX 984,CONTROLAR FRENOS Y CUBIERTAS ( FCA),,,,PENDIENTE,,,,,MEC,
2026-03-28 00:00:00,FVF 276,"REPARAR PISO, Y REPARAR SOPORTE DE PERNO",,,,PENDIENTE,,,,,HERR,
2026-03-28 00:00:00,AE 867 GD,REPARA INSTALACION ELECTRICA Y DE AIRE,,,,A LA ESPERA DE REPUESTOS,,,,,ELEC,
2026-03-28 00:00:00,MSK 494,REVISION PARA VTV (FCA),,,,PENDIENTE,,,,,MEC,
2026-03-28 00:00:00,JEG 049,CONTROLAR FALLA ELECTRICA,,,,PENDIENTE,,,,,ELEC,
2026-03-28 00:00:00,AB 665 RO,SE CAMBIO BASE DE PALANCA Y BUJE,,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,AF 948 RW,"SE REGULO FRENO, SE CONTROLO TREN DELANTERO Y NIVELO PALA",,,,OPERATIVO,,,,,MEC/ HERR,
2026-03-28 00:00:00,MLM 209,"SE REPARO FIULTRACION DE URGON, SE REPARO BURRO DE ARRANQUE",,,,OPERATIVO,,,,,HER/ELEC,
2026-03-28 00:00:00,NWC 197,SE REPARO FILTRACIONES DE AGUA DE FURGO Y SE REGULO FRENOS,,,,OPERATIVO,,,,,HER/ MEC,
2026-03-28 00:00:00,OQK 433,REVISION PARA VTV.,,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,NKX 990,"SE COLOCARON 6 CUBIERTAS NUEVAS + ROTACIONES, SE REPARO LONA Y REGULO FRENOS",,,,OPERATIVO,,,,,GOMERIA/HERR/MEC,
2026-03-28 00:00:00,NTW 678,SE REPARO ALTERNADOR,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,NTL 576,SE REPARO CERRADURA DE PUERTA IZQ,,,,OPERATIVO,,,,,HER,
2026-03-28 00:00:00,NTL 575,"SE CAMBIO GOBERNADORA, SE REPARO VALVULA DE 4 VIAS Y REPARO PERDIDA DE AIRE",,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,IOK 288,SE REPARO FALLA EN EL CIRCUITO DE COMBUSTIBLE,,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,OXF 874,SE REPARO PECHO DE FURGO Y SE REGULO FRENOS,,,,OPERATIVO,,,,,HER/ MEC,
2026-03-28 00:00:00,IRG 339,"SE CAMBIO VALVULA DESCARGA RAPDA, SE REPARO CRUCETA DEL VARILLAGE DE CAMBIOS",,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,AE 622 FS,"SE CAMBIARON GRAMPAS DEL EJE NEUMATICO, FRENO DE 1ER Y 2DO EJE, SE REGULO FRENOS Y SE COLOCARON FAROS TRASEROS",,,,OPERATIVO,,,,,MEC/ ELEC,
2026-03-28 00:00:00,AG 133 JF,"SE REPARO GANCHO DE PALA , LUCES Y LIMPIA PARABRISAS",,,,OPERATIVO,,,,,HER/ ELEC,
2026-03-28 00:00:00,SKP 105,"SE REPARO VALVULA GOBERNADORA, SE REGULO FRENOS",,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,KPM 586,SE CAMBIO CABLE DE TRILER,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,AG 653 VB,"SE REALIZO SERVICE COMPLETO, SE COLOCARON 2 RUEDAS NUEVAS DELANTERAS",,,,OPERATIVO,,,,,MEC,
2026-03-28 00:00:00,AG 449 BA,"SE REPARO ARCOS, SE SOLDO SOPORTES DE ELASTICOS",,,,OPERATIVO,,,,,HER,
2026-03-28 00:00:00,OKR 273,SE CONTROLO SISTEMA ELECTRICO Y LUCES,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,MHS 457,SE REPARO ALARGUE DE PALA,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,MLM 206,SE CAMBIO CHANCHITA Y ALARGUE DE PALA,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,MGX 497,"SE REPARO LUCES, SE REGULO FRENOS Y CONTROLO FLUIDOS",,,,OPERATIVO,,,,,ELEC/MEC,
2026-03-28 00:00:00,LTJ 766,"SE SELLO TECHO DE CABINA, SE CONTROLO LUCES Y ALTERNADOS",,,,OPERATIVO,,,,,HER/ELEC,
2026-03-28 00:00:00,AF 187 HE,SE REPARO ALZA CRISTALES,,,,OPERATIVO,,,,,HER,
2026-03-28 00:00:00,NDE 808,SE AJUSTO ESPEJO DERECHO,,,,OPERATIVO,,,,,HER,
2026-03-28 00:00:00,AE 307 GO,SE ENDEREZO PARAGOLPE TRASERO Y COLOCO ESPEJO IZQ,,,,OPERATIVO,,,,,HER,
2026-03-28 00:00:00,PGI 662,SE LE CAMBIO BURRO DE ARRANQUE AL EQUIPO DE FRIO,,,,OPERATIVO,,,,,ELEC,
2026-03-28 00:00:00,LTJ 767,FLATA FIJAR FURGO Y MONTAJE DE PALA,,,,PENDIENTE DE INGRESO,,,,,,
2026-03-28 00:00:00,CQD 623,REVISION DE MOTOR,,,,PENDIENTE DE INGRESO,,,,,,
2026-03-28 00:00:00,NTL 574,A LA ESPERA DE REPUESTOS,,,,A LA ESPERA DE REPUESTOS,,,,,,
2026-03-28 00:00:00,PEG 324,MOTOR EN RECTIFICADORA,,,,PENDIENTE DE INGRESO,,,,,,
2026-03-28 00:00:00,FFG 613,JUNTA DE TAPA DE CILINDRO SOPLADA,,,,PENDIENTE DE INGRESO,,,,,,
2026-03-28 00:00:00,NJI 342,REVISION PARA VTV,,,,PENDIENTE DE INGRESO,,,,,,
2026-03-28 00:00:00,AD 741 ZO,COLUMNA DE DIRECCION ROTA ,,,,A LA ESPERA DE REPUESTOS,,,,,,
2026-03-28 00:00:00,IRZ 953,"FALLA ELECTRICA, EN IVECAM ESTEBAN ECHEVERRIA",,,,A LA ESPERA DE REPUESTOS,,,,,,
2026-03-28 00:00:00,AF 590 MQ,MOTOR EN TALLER IVECAM ECHEVERRIA,,,,A LA ESPERA DE REPUESTOS,,,,,,
2026-03-28 00:00:00,AF 833 CZ,"REVSION DE FALLAS, EN IVECAN ECHEVERRIA",,,,TALLERES EXTERNOS,,,,,,
2026-03-28 00:00:00,AG 087 SP,EN TALLER DOCK SUD CAMBIO DE CABINA,,,,TALLERES EXTERNOS,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
