,,PARTE DE NOVEDADES 15/4/26,,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,fecha Inicio,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,LVC293,"SE FILTRA AGUA EN FURGÓN, REGULAR FRENOS Y REVISAR ELÁSTICOS - CITADO 5HS",,,,CITADO,,,,,,
2.0,IRG318,PUERTA CHOFER NO CIERRA Y MANIJA LEVANTAVIDRIO - CITADO 10HS,,,,CITADO,,,,,,
3.0,IRG339,SOPLÓ JUNTA DE TAPA DE CILINDROS,,,,,,,,,,
4.0,IRG335,CARBONES DE PALA - CARGADO,,,,,,,,,,
5.0,AD741ZO,EMBRAGUE Y PARABRISAS (OPERACIÓN ARCOR),,,,,,,,,,
6.0,OGQ099,INYECTORES (OPERACIÓN ARCOR),,,,,,,,,,
7.0,AG372MF,EN PROCESO DE DESARME PARA ENVIAR A RECTIFICADORA,,,,,,,,,,
8.0,OGQ096,CAJA Y ARRANQUE,,,,,,,,,,
9.0,PGI661,REPARAR PISO (OPERACIÓN FCA),,,,,,,,,,
10.0,FNS933,CONTROLAR BATERÍAS Y PUESTA EN MARCHA,,,,,,,,,,
11.0,MHS457,REPARAR INSTALACIÓN ELÉCTRICA DE LA FUSILERA - REEMPLAZADO,,,,,,,,,,
12.0,JEG049,REVISIÓN PARA VTV Y FALLA - REEMPLAZADO,,,,,,,,,,
13.0,FVF276,REPARAR PISO - LIBERADO,,,,,,,,,,
14.0,AF833CZ,"REVISAR ESPEJO, VENTILETE Y PUERTA IZQUIERDA (UNIDAD SINIESTRADA)",,,,,,,,,,
15.0,AG504NC,LUCES Y CONTROLAR CUBIERTAS,,,,,,,,,,
16.0,MLH644,REVISAR PERDIDA DE AGUA Y SE FILTRA AGUA EN FURGÓN - REEMPLAZADO,,,,,,,,,,
17.0,NDE808,MOTOR - REEMPLAZADO,,,,,,,,,,
18.0,AH964MM,RUEDA TRASERA REVENTADA,,,,,,,,,,
19.0,AF948RU,REALIZAR SERVICE (OPERACIÓN ALSEA),,,,,,,,,,
20.0,AF970DI,CONTROLAR CUBIERTAS (OPERACIÓN ALSEA),,,,,,,,,,
21.0,MSK494,REVISAR ELÁSTICOS (OPERACIÓN FCA),,,,A LA ESPERA DE REPUESTOS,,,,,,
22.0,OMG249,MAZA DE PRIMER EJE (OPERACIÓN LA ANONIMA),,,,A LA ESPERA DE REPUESTOS,,,,,,
23.0,LRH490,REPARACIONES GENERALES (OPERACIÓN NEWSAN),,,,,,,,,,
24.0,LTJ 767,CAMBIAR FURGÓN (REEMPLAZADO),,,,PENDIENTE DE INGRESO,,,,,,
25.0,CQD 623,REVISION DE MOTOR - REEMPLAZADO,,,,PENDIENTE DE INGRESO,,,,,,,,
26.0,NTL 574,ARMADO DE MOTOR - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,,,,,
27.0,PEG 324,MOTOR EN RECTIFICADORA (OPERACIÓN ARCOR),,,,PENDIENTE DE INGRESO,,,,,,
28.0,FFG 613,JUNTA DE TAPA DE CILINDRO SOPLADA (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
29.0,NJI 342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
30.0,IRZ 953,"FALLA ELECTRICA, EN IVECAM ESTEBAN ECHEVERRIA - REEMPLAZADO",,,,TALLERES EXTERNOS,,,,,,
31.0,AF 590 MQ,MOTOR EN TALLER IVECAM ECHEVERRIA (OPERACIÓN FCA),,,,TALLERES EXTERNOS,,,,,,
32.0,AG 087 SP,EN TALLER DOCK SUD CAMBIO DE CABINA (OPERACIÓN ALSEA),,,,TALLERES EXTERNOS,,,,,,
33.0,,,,,,,,,,,,
34.0,,,,,,,,,,,,
35.0,,,,,,,,,,,,
36.0,,,,,,,,,,,,
37.0,,,,,,,,,,,,
38.0,,,,,,,,,,,,
39.0,,,,,,,,,,,,
40.0,,,,,,,,,,,,
