,,PARTE DE NOVEDADES 22/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,LTJ766,CONTROLAR TURBO - CITADO 11HS,,,,CITADO,,,,,,
2.0,NTW678,CONTROLAR ELÁSTICOS - LIBERADO,,,,,,,,,,
3.0,IOK295,ALARGUE DE PALA - LIBERADO,,,,,,,,,,
4.0,OJW761,LUCES - SIGUE DE VIAJE,,,,,,,,,,
5.0,AC880SX,CONTROLAR INYECTORES Y RETÉN DE RUEDA TRASERA - REEMPLAZADO,,,,,,,,,,
6.0,HUT007,REALIZAR SERVICE,,,,,,,,,,
7.0,IRG335,REPARAR FURGÓN - REEMPLAZADO,,,,,,,,,,
8.0,AD247HW,"REVISAR FRENOS, BATERIAS Y CAMBIAR TAMBOR DE ARRANQUE (OPERACIÓN ECOMMERCE)",,,,,,,,,,
9.0,OHH650,TURBO Y LUCES DE TABLERO - REEMPLAZADO,,,,,,,,,,
10.0,AG087SS,CAMBIAR RADIADOR DE ACEITE (OPERACIÓN ALSEA),,,,,,,,,,
11.0,NTL576,ELÁSTICOS TRASEROS - REEMPLAZADO,,,,,,,,,,
12.0,FVF276,"PISO REPARADO, RESTA REPARAR MANGUERAS DE AIRE E INSTALACION ELECTRICA- LIBERADO",,,,,,,,,,
13.0,LRH490,REPARAR FURGÓN (OPERACIÓN NEWSAN),,,,,,,,,,
14.0,SOH165,PERNO Y BUJE - SE DESARMO LA PUNTA DE EJE - REEMPLAZADO,,,,,,,,,,
15.0,MLH643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,,,,,,,
16.0,HJG034,REVISIÓN DE MOTOR - SE DEBE ENVIAR A DS,,,,,,,,,,
16.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,,,,,,,
17.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,,,,,,,
18.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA (OPERACIÓN FCA),,,,,,,,,,
19.0,AG372MF,MOTOR EN RECTIFICADORA (OPERACIÓN ALSEA),,,,,,,,,,
20.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,,,,,,,
21.0,PEG 324,"SE COLOCO MOTOR Y CAJA, RESTA PUESTA EN MARCHA",,,,,,,,,,
22.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,,,,,,,
23.0,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
2.0,AF069SE,DEPÓSITO DE AGUA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
3.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
4.0,AH402GS,"PARAGOLPE, OPTICA Y FARO DE GIRO DELANTEROS - EN REPARTO (OPERACION BLANCA LUNA)",,,,PENDIENTE DE INGRESO,,,,,,
5.0,AG296PQ,AJUSTAR CORREAS Y REPARAR BAJADA DE PARAGOLPE TRASERO IZQUIERDO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
6.0,AH680JT,CAMBIAR ESPEJO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
7.0,AG372ME,"COLOCAR BOCINA, REPARAR ALARGUE Y MOTOR DE PALA - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,
8.0,MLH644,CONTROLAR INYECTORES (HUMEA) - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
9.0,AG296PQ,SOPORTE DE COMPRESOR DE EQ DE FRIO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
10.0,AF948RV,CONTROLAR TURBO Y CAJA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,IRZ953,"FALLA ELECTRICA, EN IVECAM ESTEBAN ECHEVERRIA - REEMPLAZADO",,,,TALLERES EXTERNOS,,,,,,
