,,PARTE DE NOVEDADES 10/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,IRG339,SE REALIZA CAMBIO DE AROS Y METALES - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
2,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
3,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
4,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
5,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,2026-07-07 00:00:00,,,,,
6,MYH381,REPARACION DE PISO Y FURGON,,,,PENDIENTE DE INGRESO,,,,,,,
7,HJG034,REVISION PARA VTV,,,,OPERATIVO,,2026-07-06 00:00:00,,,,,2026-07-10 00:00:00
8,IRZ953,REVISAR FALLA,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
9,OGQ099,CONTROLAR  INYECTORES,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
10,AD702UW,"REVISAR LUCES DELANTERAS, REPARAR TRABA COMBIS",,,,PENDIENTE,,2026-07-10 00:00:00,,,,,
11,NJC447,CAMBIO DE RUEDA (LLANTA ROTA),,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
12,AG302VA,RUEDA PINCHADA - EN GOMERIA ,,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
13,IOK288,CONTROLAR LEVANTA TEMPERATURA,,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
14,OPO135,RUEDA PINCHADA -,,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
15,LRH492,EN REVICION PARA VTV( NO LEVANTA LA CABINA),,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
16,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
17,OGI195,AUXILIAR LA UNIDAD (PERDIDA DE AIRE),,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
18,AB542MU,CONTROLAR RUEDA TRASERA( SE FRENA),,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
19,MHS457,REVISAR ARRANQUE - EN VOLTA - CITADO 09:30,,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
,PEG324,SE REPARO BOMBA DE DIRECCION HIDRAULICA.,,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-10 00:00:00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,NTW678,REPARAR FURGON - LIBERADO,,,,PENDIENTE DE INGRESO,,,,,,,
