,,PARTE DE NOVEDADES 18/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16
1.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,
2,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,,,,,,,,,,,,,,,,,
3,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,
4,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,2026-07-07 00:00:00,,,,,,,,,,,,,,,,,,,,,
5,MYH381,REPARACION DE PISO Y FURGON,,,,PENDIENTE DE INGRESO,,,,,,,,,,,,,,,,,,,,,,,
6,IRZ953,REVISAR FALLA (AGUA EN EL GAS OIL),,,,PENDIENTE,,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,
7,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,
8,IRG318,REVISION PARA VTV,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,,,,,,,,,,,,,,,,,
9,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,2026-07-13 00:00:00,,,,,,,,,,,,,,,,,,,,,
10,IOK286,REVISAR CAJA DE DIRECCION - LIBERADO,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,,,,,,,,,,,,,,,,,
11,JBR542,FABRICAR PARANTES FALTANTES,,,,PENDIENTE,,2026-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,
12,IOK288,REPARAR CILINDRO DE PALA - SE ENVIO A DS,,,,PENDIENTE,,2026-07-16 00:00:00,,,,,,,,,,,,,,,,,,,,,
13,NUS780,REPARAR ESPEJO LADO DEL CONDUCTOR,,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
14,OGI195,REVISION PARA VTV,,,,PENDIENTE,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,
15,OIL690,REVISION PARA VTV,,,,PENDIENTE,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,
16,AF207TX,"REVISAR LUCES, AGREGRAR HIDRAULICO A LA DIRECCION ",,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
17,IRG339,COLOCAR FILTRO DE AIRE,,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
18,AD959RK,REVISION GENERAL (REPARADO EN SALTA)-(OPERACION FCA),,,,PENDIENTE,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,
19,LTJ766,"REPARAR PALA,PEDALERA DE FRENO Y REVISAR LUCES",,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
20,OKR273,CAMBIAR LUZ DE GIRO LADO ACOMPAÑANTE - (CARGADO),,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
21,NTL574,REVISAR FALLA (SE APAGA),,,,OPERATIVO,,2026-07-18 00:00:00,,,,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,
