,,PARTE DE NOVEDADES 28/07/2026,NEGLIGENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,UNIDAD,NOVEDADES,Column 4,Column 5,Column 6,ESTADO,OBSERVACIONES,F-I,Column 10,Column 11,Column 12,Column 13,F-T,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,
1.0,OGI195,REVISION PARA VTV -,,,,OPE,TRACTOR OK,2026-07-21 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
2.0,LWX063,CONTROLAR FALLA ,,,,OPE,SE CAMBIO MANIJA DE PUERTA Y LUZ DE GIRO,2026-07-25 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
3.0,AB542MU,REVICION PARA VTV,,,,OPE,OK,2026-07-27 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
4.0,OHH650,"REVISAR BLOQUEO, LUCES BAJAS,BOCINA Y MANGUERA DE AIRE",,,,OPE,,2026-07-27 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
5.0,IRG339,REVISAR FALLA - CARGADO EN BASE,,,,OPE,SE COLOCO FILTRO DEL CHUPADOR DE TANQUE,2026-07-28 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
6.0,AG372MD,REVISION PARA SUBIR A MINERA (OPERACION FCA) - EN VOLTA,,,,OPE,,2026-07-28 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
7.0,NKX990,REVISION PARA SUBIR A MINERA (OPERACION FCA) - EN VOLTA,,,,OPE,,2026-07-28 00:00:00,,,,,2026-07-28 00:00:00,,,,,,,,,,,,,,,,,
8.0,AF833CZ,SERVICIO COMPLETO,,,,PEND,SE NIVELO FLUIDOS,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
9.0,CQD 623,SE ESTA REPARANDO EL FURGON  Y PINTANDO ,,,,PEND,SE ESTA REPARANDO INSTALACION ELECTRICA,2026-06-08 00:00:00,,,,,2026-07-31 00:00:00,,,,,,,,,,,,,,,,,
10.0,LTJ 767,CAMBIAR FURGÓN Y COLOCAR LA PALA REEMPLAZADO,,,,PEND,PINTANDO FURGON Y COLOCANDO PALA,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,
11.0,NDE808,MOTOR EN TALLER DS,,,,PEND,"MOTOR EN TT, HAY QUE LIMPIAR CONTROLAR Y ARMAR",2026-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
12.0,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PEND,REPARACION DE FURGION EN PROCESO,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,
13.0,NMG568, REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PEND,EN PROCESO,2026-06-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,
14.0,JBR542,FABRICAR PARANTES FALTANTES,,,,PEND,NO SE PAGO FACTURA DE LOS MATERIAES OC 4071,2026-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
15.0,OGM429,REPARAR ARCOS DEL SEMI - EN VOLTA,,,,PEND,"SEMI EN VOLTA, NO SE PAGO FACTURA DE LOS MATERIAES OC4093",2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
16.0,AE726TT,SE SACO Y DESARMO EL MOTOR. SE ENVIA A LA RECTIFICADORA,,,,PEND,A LA ESPERA DE COTIZACION,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
17.0,AE306ME,ARMADO DE LA UNIDAD,,,,PEND,,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
18.0,AE2871JU,ARMADO DE LA UNIDAD,,,,PEND,A LA ESPERA DE REPUESTOS ,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
19.0,OIL690,REVISION PARA VTV ,,,,PEND,"A LA ESPERA DE CAMBIO DE GRAMPA DE ELASTICO, REPUESTO MAL PEDIDO",2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
20.0,LRH492,"FILTRA AGUA EN EL FURGON, SOLDAR BISAGRA",,,,PEND,PENDIENTE DE INGRESO,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
21.0,AE281JT,"PARAGOLPE DELANTERO, GUARDABARROS Y SIN FUERZA",,,,PEND,FALTA COLOCAR GUARDABARROS,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
22.0,JEG049,SE LIMPIO EL CIRCUITO DE GAS OIL RESTA VACIAR EL TANQUE. ,,,,PEND,"FALTA VACIAR EL TANQUE, SE PIDIERON TACHOS A DS",2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
23.0,FNS933,NO ARRANCA CONTROLAR BATERIAS. SE DEBE ENVIAR A DS,,,,PEND,SIN NOVEDAD,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
24.0,AG087ST,INYECTORES Y DEPÓSITO DE UREA,,,,PEND,A LA ESPERA DEL DEPOSITO DE UREA,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
25.0,AF658QW,"SIN FUERZA, PULMON PINCHADO ",,,,PEND,"FALTA CAMBIAR SENSOR DE VACIO, EL CUAL LLEGO 19:15 DE DS",2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
26.0,AB612RD,CONTROLAR PERDIDA DE ACEITE DE PALA,,,,PEND,RESTA REPARAR CILINDRO,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
27.0,AF833CX,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
28.0,MSK500,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
29.0,,"CAMBIO DE CUBIERTAS DELANTERAS,REVISAR PERDIDA DE ACEITE (OPERACION FCA)",,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
30.0, NKX984,"REVISAR FRENO, CAMBIAR CUBIERTAS,REVISAR EJE NEUMATICO (OPERACION FCA)",,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
